Question,A,B,C,D,E,index,Answer,explaination
 Walerian degeneration is seen in:,A. Part of nerve attached to cell body in a nerve that is cut peripherally,B. Cell body that is not attached to the nerve that is cut,C. Part of nerve not attached to cell body,D. Cell body that is attached to the nerve that is cut,E. It is not a type of nerve injury,17.0,C. Part of nerve not attached to cell body,A stepwise degeneration process called Wallerian degeneration is the standard response to peripheral nerve injury. It is seen when a nerve fiber is cut which results in the degeneration of part of the axon distal to the injury. Wallerian degeneration is seen in part of nerve not attached to cell body.
 Granuloma is characterized by-,A. Focal accumulation of activated macrophages,B. Collection of neutrophils,C. Newly formed vessels,D. Collection of eosinophils,E. Collection of basophils,18.0,A.  Focal accumulation of activated,"macrophages Granuloma is a mass of granulation tissue produced typically in response to infection, inflammation or for - eign substances. These macrophages are important in the development of granuloma cell mediated inflamma - tion. Granuloma is characterized by focal accumulation of activated macrophages."
" Marked mitochondrial dysfunction, mitochondrial swelling and large densities within the mitochondrial matrix are seen in which type of cell injury?",A. Cell death,B. Irreversible cell injury,C. Reversible cell injury,D. Necrosis,E. Apoptosis,19.0,B. Irreversible cell injury,"Irreversible cell damage is a significant membrane damage caused by influx of calcium. There is also an efflux of intracellular enzymes and proteins into circula - tion. Within the mitochondrial matrix there are marked mitochondrial dysfunction, mitochondrial swelling, and large densities. Common examples of irreversible cell injury are seen in the nucleus. Changes might be pykno - sis (degeneration and nuclear chromatin condensation), karyorrhexis (nuclear fragmentation), and karyolysis (nucleus dissolution)."
" To which of the following family of chemical mediators of inflammation, lipoxins belong?",A. Chemokines,B. Arachidonic acid metabolites,C. Kinin system,D. Cytokines,E. Vasoactive amines,20.0,B. Arachidonic acid metabolites,"Lipoxins are endogenous, pro-resolving, anti- inflammatory molecules that play a vital part in reducing  6 chronic inflammation. Arachidonic acid, a fatty acid, is enzymatically derived by lipoxins. The metabolites of arachidonic acid contains three hydroxyl residues and four double bonds. Intracellular messengers are called arachidonic acid and its metabolites are prostaglandins and leukotrienes. Arachidonic acid, which results in the synthesis of prostaglandins and leukotrienes, is metabo - lized by cyclooxygenase (COX) and 5-lipoxygenase."
 Enzyme responsible for respiratory burst is?,A. Peroxidase,B. Catalase,C. NADPH oxidase,D. Dehydrogenase,E. Lysozyme,21.0,C. NADPH oxidase,Intracellular killing is oxygen dependent killing. A NADPH oxidase multi-protein complex creates a phago - cyte respiratory burst. NADPH oxidase consists of p91- phox and p22-phox membrane bound subunits.
 Procalcitonin is considered as a marker for?,A. Sepsis,B. Medullary carcinoma of thyroid,C. Vitamin D resistant rickets,D. Parathyroid adenoma,E. Hyperthyroidism,22.0,A. Sepsis,"The systemic reaction to microbial organisms is sep - sis. An appropriate treatment and prognostic evaluation includes a differential diagnosis of diseases, whether by bacteria or other microbial species. Current clinical lab - oratory procedures are either undefined or need a longer turnaround time for the diagnosis of bacterial infections. Procalcitonin (PCT) is a biomarker that is more accurate for recognizing sepsis patients. It can be used for diag - nosing bacterial infections other than proinflammatory markers (for example cytokines)."
" A 92-year-old man presents to his health care provider with a history of mild dementia, osteoarthritis, emphy - sema, cataract, and hypertension. What is the most likely diagnosis?",A. Hypovitaminosis E,B. Werner syndrome,C. Natural aging,D. Progeria (Hutchinson-Gilford syndrome),"E. Alzheimer’s disease1 Cellular Pathology, Inflammation, and Repair 3",23.0,C. Natural aging,It is suspected that cytokine dysregulation plays a central role in remodeling the immune system at an older age. This is a proof that systemic inflammation is unable to control the prevention of aging. This reconstruction of the model of an expression of cytokine with a steady propensity to an inflammatory phenotype is called the inflammatory aging. Symptoms described in the ques - tion are indicative of natural aging.
 What cellular adaptation has occurred in this tissue shown below?,A. Metaplasia,B. Hyperplasia,C. Fatty change,D. Hypertrophy,E. Atrophy,24.0,C. Fatty change,"Steatosis or the fatty change is abnormal accumula - tion of fat (lipids) within a cell or organ. Steatosis fre - quently affects the liver, which is the primary organ of lipid metabolism, leading to a disorder that is commonly referred to as fatty liver disease."
 Which of the following disorder is more likely to be associated with an exudate rather than a transudate?,A. Congestive heart failure,B. Inflammation,C. Nephrotic syndrome,D. Chronic liver disease,E. Diabetes mellitus,25.0,B. Inflammation,"The edema caused by inflammation due to increased permeability of the capillary system. Exudates are called protein rich, high specific gravity, low glucose, cell laden edema fluid. Specific gravity is more than 1.020. Common types of exudates are purulent, fibrinous, and hemorrhagic. Exudates Inflammation belongs to the defense mechanism of the body. Inflammation typically has two types (acute and chronic)."
 In acute inflammation hemodynamic changes like mas - sive vasodilation are mediated by which of the following chemicals?,A. Histamine,B. Bradykinin,C. Prostaglandins,"D. Histamine, bradykinin, and prostaglandins",E. Histamine and bradykinin,26.0,"D Histamine, bradykinin, and prostaglandins","Inflammatory mediators such as histamine, bradyki - nin, and prostaglandins are vasodilators. They also cause an increase in vascular permeability. This causes relax - ation of the muscle in the blood vessel walls. This reduces blood flow resistance, increases blood flow, and decreases blood pressure."
 Inflammation is associated with which of the following cytokines?,A. Cytokines (IL-1),B. Cytokines (IL-6),C. Tumor necrosis factor-alpha,"D. IL-1, IL-6, and tumor necrosis factor-alpha",E. Prostacyclin (PGI 2),27.0,"D IL-1, IL-6, and tumor necrosis factor-alpha","Imbalance in inflammatory cytokine production such as interleukin-6 (IL-6), TNF- α, interleukin-1 (IL-1), interleukin-10 (IL-10), type I & II interferon contribute to immune dysfunction. They also mediate the inflam - mation of the tissues and organ damage."
 Cytokines IL-8 is produced by which cell?,A. Neutrophil,B. Macrophage,C. Lymphocyte,D. Eosinophil,E. Basophil,28.0,B. Macrophage,"In macrophages, cytokines like TNF, IL-1, IL-6, IL-8, and IL-12 are secreted when they are exposed to inflamed stimuli. The primary sources of the cytokines are mono - cytes and macrophages. Activated lymphocytes, endo - thelial, and fibroblast cells produce them."
 Kupffer cells are found in which system?,A. Connective tissue,B. Lung,C. Liver,D. Bone,E. Brain,29.0,C. Liver,"Liver consists of different cell types, including hepa - tocytes (parenchymal cells). Liver also consists of mac - rophages (Kupffer cells) and sinusoidal endothelial cells. Kupffer cells reside in the liver sinusoids."
 Which of the mitochondrial enzyme that activates cas - pases and indirectly brings about cell death through intrinsic pathway apoptosis?,A. Cytochrome c,B. Monoamine oxidase,C. Fatty acid CoA ligase,D. Cytochrome c-reductase,E. Rotenone-insensitive,30.0,A Cytochrome c,The programmed cell death (PCD) is called apopto - sis. There are two main apoptotic pathways: extrinsic one and endogenous one. Intrinsic apoptotic pathway converges with the release of proteins from mitochon - dria into the cytosol. One such proteins released is called cytochrome c (Cc).
 Virulent organism producing severe tissue damage and extensive cell death is defined as:,A. Exudative inflammation,B. Necrotizing inflammation,C. Granulomatous inflammation,D. Interstitial inflammation,E. Cytopathic inflammation,31.0,B. Necrotizing inflammation,"An inflammatory area in which tissue is dead is called necrotizing granuloma. The conditions caused by necro - tizing granulomas are tuberculosis and granulomatosis with polyangiitis. Granulomatous inflammation is a his - tological tissue reaction which occurs after cell injuries. Common causes of necrotizing inflammation are necro - tizing granulomas, non-necrotizing granulomas, and suppurative granulomas. Necrotizing granuloma is seen in mycobacterium tuberculosis. It usually consists of central necrotic regions, epithelioid histiocytes, and multinucleated giant cells. Non-necrotizing granulomas are seen in sarcoidosis."
 Which of the following is a major chemotactic factor for lung macrophages?,A. CXCL17,B. N-formylmethionine,C. Leukotriene B4,D. Complement system produce C5a,E. α-Chemokines,32.0,A. CXCL17,Chemokines are a superfamily of chemical cytokines that control the movement of cells in a homeostatic and inflammatory condition. CXCL17 is an important lung macrophage chemotactic factor.
 Which of the following cell plays an important role in parasitic infections?,A. Neutrophil,B. Macrophage,C. Lymphocyte,D. Eosinophil,E. Basophil,33.0,D: Eosinophil,Eosinophils are bilobed cells with large eosinophilic granules. They defend against parasitic infections. Eosinophils may also participate in critical protection tasks against bacterial and viral pathogens including HIV .
 What is the effect of bradykinin?,A. Pain,B. Bronchodilation,C. Vasoconstriction,D. Decrease vascular permeability,E. Platelet aggregation,34.0,A. Pain,Mediators of pain are bradykinin and prostaglandins (E2). Bradykinin increases the vascular permeability. Vasodilation and bronchoconstriction are also caused by bradykinin.
 What are the mediators of fever?,A. Cytokines IL-1,B. Leukotriene B4,C. Leukotriene C4,D. Prostacyclin,E. Thromboxane A2,35.0,A. Cytokines IL-1,"There are several pyrogenic cytokines. Common pyrogenic cytokines are IL-1, IL-6, and TNF. The pyro -genic cytokine interferon (IFN)-alpha is also one of the pyrogenic cytokines."
 Which of the following cytokine is involved in the pathogenesis of Castleman disease?,A. IL-2,B. IL-4,C. IL-6 Multiple Choice Questions 4,D. IL-10,E. IL-5,36.0,C. IL-6,"IL-6 is a cytokine with a wide range of biological functions including support of hematopoiesis, regulation of immune responses, and generation of acute phase reactions. IL-6 and VEGF are the main cytokines includ - ing systemic complications in Castleman disease."
 Which of the following important mediators in asthma?,"A. Cytokines IL-4, IL-5, and IL-13",B. Interleukin-7 (IL-7),C. Interleukin-1 (IL-1),D. Interleukin-6 (IL-6),E. Interleukin-8 (IL-8),37.0,"A. Cytokines IL-4, IL-5, and IL-13","TH2 cytokines IL-4, IL-5, and IL-13 are important mediators in asthma."
"A 13-year-old female patient presents with clinical fea - tures of failure to develop secondary sex characteristics, short stature, primary amenorrhea, infertility, cystic hygroma, and web neck. What is the diagnosis?",A. Turner syndrome,B. Klinefelter syndrome,C. Edward syndrome,D. Cri du Chat syndrome,E. Patau syndrome,38.0,A. Turner syndrome,"Turner syndrome is a malformation syndrome due to the lack of a second X chromosome (45, XO). It is a common cause of primary ovarian insufficiency. It is characterized by short stature, failure of puberty to occur, webbed neck, cubitus valgus, lymphoedema of the dorsal surfaces of the hands and feet, expression - less face. There is gonadal dysgenesis with rudimen - tary “streak ovaries,” shortening of the fourth and fifth metatarsals. There may be renal anomalies (horseshoe kidney, unilateral renal agenesis), cardiac defects (usually coarctation of aorta). Early treatment to pro - mote growth is required by an experienced pediatric endocrinologist."
What is the karyotype of Klinefelter syndrome?,A. 45 XO,B. 47 XXY,C. 46 XX,D. 47 XX,E. 47 XY,39.0,B. 47 XXY,"Klinefelter syndrome is a hypogonadism syndrome in males with an additional X chromosome (XXY syn - drome). Main signs in childhood are tall stature with unusually long lower extremities, slightly below average intelligence with a delayed onset of puberty, gyneco - mastia. In adolescent and adulthood, there are eunuch - oid proportions with tall stature. There is normally developed penis with small testes, and infertility (azo - ospermia) noticeable after puberty. Secondary sexual characteristics are poorly developed with female distri - bution of pubic hair. Most patients are diagnosed after the 14th year of life. Plasma and urine gonadotropins are elevated. X-chromatin is positive on screening (buccal smear). There is an increased risk of psychiatric and autism spectrum disorders."
Chromosomal aberrations are due to a change in the nor - mal chromosome number or a change in the structure of a chromosome. What is the genetic abnormality in Cri du Chat syndrome?,A. 45 XO,B. 47 XXY,C. Deletion of chromosome 5p,D. 47 XX,E. 47 XY,40.0,C. Deletion of chromosome 5p,"Cri du Chat syndrome is a syndrome comprising facial dysmorphism, primordial growth deficiency, low birth weight, psychomotor delay, and affected babies have cat-like high pitched cry in early infancy. Main signs are round flat face, hypertelorism, downslanting palpebral fissures, low broad nasal bridge, micrognathia, and low set ears. A missing piece of chromosome 5 is a cause of this disorder."
What are the clinical findings of Edward syndrome?,"A. Mental retardation, low set ears, micrognathia, over - lapping of the fingers, and rocker-bottom feet","B. Mental retardation, cleft lip and palate, cardiac defects, and polydactyly","C. Mental retardation, characteristic high pitched cat- like cry, congenital heart disease, and microcephaly","D. Testicular atrophy, female distribution of hair, and gynecomastia","E. Short stature, primary amenorrhea, infertility, cystic hygroma, and webbing of the neck",41.0,"A. Mental retardation, low set ears, micro -","gnathia, overlapping fixed fingers, and Rocker-bottom feet Trisomy 18 (Edward Syndrome) consists of primor - dial growth deficiency, typical facial dysmorphism, and profound psychomotor retardation. Characteristic facies are distinguished by protruding forehead, upward- slanting palpebral fissures, micrognathia, microstomia, short philtrum and not infrequently cleft lip or palate. Other signs and symptoms include flexion contractures of the fingers with overlapping of the fingers, hypoplas - tic nails, clenched fists, “rock-bottom feet.” There is a short sternum with widely faced nipples. There may be defects in the heart (ventricular septal defect and patent ductus arteriosus)."
"Which of the following is the most frequent form of familial mental retardation, mainly in males, with large ears and macro-orchidism?",A. Fragile X syndrome,B. Sotos syndrome,C. Asperger syndrome,D. Prader-Willi syndrome,E. Rett syndrome,42.0,A. Fragile X Syndrome,"Fragile X Syndrome is a form of familial mental retardation of varied severity, mainly in males, with large ears, macro-orchidism, and fragile X chromosome. There is increased weight and head circumference above the 97th percentile at birth. Delayed psychomotor devel - opment occurs with muscular hypotonia, thin legs, walk - ing after 18 months, delayed speech. This is an X-linked disorder with anticipation (increasing severity in successive generations). In adolescence, tall stature, flat feet, hyperextensible joints occur along with prolapse of the aortic and mitral valves."
Which of the following statements is correct regarding Niemann-Pick disease?,A. Enzyme defect is a deficiency of sphingomyelinase,B. Enzyme defect is a deficiency of glucocerebrosidase,C. Enzyme defect is a deficiency of hexosaminidase A,D. Enzyme defect is a deficiency of glucose-6-phospha - tase,E. Enzyme defect is a deficiency of lysosomal glucosi - dase (acid maltase),43.0,A. Enzyme defect is a deficiency of,"sphingomyelinase An autosomal recessive sphingolipidoses with differ - ent clinical forms, Niemann-Pick disease (NPD) is char - acterized by a protruding abdomen due to hepatosplenomegaly. Neurological complications of variable severity, cherry red spot in the macula, thin extremities, and growth deficiency are also found in NPD. Type A is an acute form with neurological compli - cations. Type B is chronic form with or without neuro - logical complications. Regression of speech and intellect, ataxia, grand mal seizures are seen as neuro - logic complications."
"Which of the following is an autosomal recessive muco - polysaccharide storage disease which leads to typical facial dysmorphism with short stature, dementia, cor - neal clouding, and hepatosplenomegaly?",A. Hurler syndrome,B. Hunter syndrome,C. Sanfilippo syndrome,D. Maroteaux-Lamy syndrome,E. Sly syndrome,44.0,A. Hurler Syndrome,"Hurler syndrome is an autosomal recessive muco - polysaccharide storage disease, which leads to the devel - opment of typical facial dysmorphism. Characteristic facies have low, flat nasal bridge, broad tip of nose, large nares, hypertelorism, exophthalmos, corneal clouding, thick lips. There is short neck with joint contractures, claw hands. Protruding abdomen and hernias may be present. The mucopolysaccharide type 1-H is not degraded because of the absence of alpha-iduronidase, but are stored in various organs resulting in functional and morphological anomalies of these organs. Gene locus is present on 4p16.3."
"Which of the following syndromes present as a recessive syndrome of primordial growth deficiency, telangiec - tatic erythema, and tendency to develop malignant tumors?",A. Turner syndrome,B. Klinefelter syndrome,C. Edward syndrome,D. Cri du Chat syndrome,E. Bloom syndrome,45.0,E. Bloom syndrome,"Bloom syndrome is a recessive hereditary syndrome of primordial growth deficiency and telangiectatic ery - thema. Main signs are long narrow face with a promi - nent nose, micrognathia, and microcephaly. Telangiectasia erythema is more marked after exposure to the sun, more commonly in a butterfly distribution on the face. There is a tendency in the younger age group to develop malignant tumors, especially leukemia, lym - phoma, and later adenocarcinomas."
"Which of the following condition presents with classic generalized skeletal dysplasia with disproportionate  10 short stature, large head, coarse facial features, and X-ray findings of thoracolumbar kyphosis and lumbosa - cral lordosis?",A. Thanatophoric dysplasia,B. Achondroplasia,C. Hypochondroplasia,D. Pseudoachondroplasia,E. Metatropic dwarfism,46.0,B. Achondroplasia,"Achondroplasia is a generalized skeletal dysplasia with disproportionate short stature, large head, typical dysmorphism. There is ulnar deviation of the hands, splayed fingers (trident hand). Head is too large for the body with coarse facial features. X-ray findings show thoracolumbar kyphosis and lumbosacral lordosis. It is an autosomal dominant disorder and gene locus is on the short arm of chromosome 4(4p16.3)."
 Which of the following is a common finding in sponta - neously aborted fetuses?,A. Inversion,B. Deletion,C. Polyploidy,D. Nondisjunction,E. Trinucleotide repeat mutations,47.0,C. Polyploidy,"In polyploidy, there are more than two paired homol - ogous sets of chromosomes. It is a common finding in spontaneous abortion. Polyploidy is usually lethal irre - spective of the sexual phenotype of the embryo."
 Which of the following is a hereditary metabolic disor - der with short stature and rachitic bone changes?,A. Familial hypophosphatemic rickets,B. Vitamin D deficiency rickets,C. Metaphyseal chondrodysplasia syndrome,D. Cartilage-hair hypoplasia,E. Pseudohypoparathyroidism,48.0,A. Familial hypophosphatemic rickets,"Familial hypophosphatemic rickets is also called vitamin-D resistant rickets. It is a metabolic disorder with short stature and rachitic bone changes. There is a short stature with pronounced bow legs. In childhood, other rachitic bone changes (rachitic rosary, enlargement of the wrists and ankles) are also seen. There may be a dental change with delayed eruptions and dental abscess. In adulthood, abnormal curvature of the spine, osteoma - lacia, calcification around ligaments, and joint capsules are present. Radiologically, changes as in vitamin-D deficiency rickets are seen but pelvic and spinal regions are spared. Laboratory findings show hypophosphate - mia, hyperphosphaturia, increased serum alkaline phos - phatase, normal calcium, and parathormone. It is an X-linked dominant disorder, which is triggered by a genetic defect on the short arm of the X chromosome. Combined disorder of phosphate reabsorption and of regulation of 1, 25-(OH) secretion in the proximal renal tubules is present."
" Which of the following is a syndrome of oculocutaneous albinism, frequent bacterial infections, and large lyso - somal granules in the granulocytes?",A. Cutaneous T cell lymphoma,B. Oculocutaneous albinism,C. Chediak-Higashi syndrome,D. Pyoderma gangrenosum,E. Hemophagocytic lymphohistiocytosis (HLH),49.0,C. Chediak-Higashi syndrome,"Chediak-Higashi syndrome is a syndrome of oculo - cutaneous albinism, frequent bacterial infections. Fair skin, fair hair with silvery sheen, light-colored iris, pho - tophobia, and nystagmus are present. There are recurrent bacterial infections, especially of the upper and lower respiratory tract and skin. Giant azure-blue granules in the granulocytes are present. Anemia is found in 80% of all affected individuals. It has an autosomal recessive 2 Genetic Disorders 13 inheritance. There is an impaired function of the neutro - phils in the cell membrane due to giant granules, impaired chemotaxis, and intracellular bacterial killing."
 What are the clinical findings of Patau syndrome?,"A. Mental retardation, low set ears, micrognathia, over - lapping fixed fingers, and Rocker-bottom feet.","B. Mental retardation, cleft lip and palate, cardiac defects, and polydactyly","C. Mental retardation, characteristic high pitched cat- like cry, congenital heart disease, and microcephaly","D. Testicular atrophy, female distribution of hair, and gynecomastia","E. Short stature, primary amenorrhea, infertility, cystic hygroma, and webbing of the neck",50.0,"B. Mental retardation, cleft lip and palate, car -","diac defects, and polydactyly Patau syndrome (trisomy 13) is the result of an extra copy of chromosome 13. Main signs are microcephaly, slanting forehead, hypo or hypertelorism, mongoloid slant of the palpebral fissures, microphthalmia or anoph - thalmia, cleft lip, palate, and micrognathia. Holoprosencephaly, postaxial polydactyly, mainly of upper extremities are the other main signs. There may be capillary hemangiomas, cryptorchidism, cardiac defects of various types (ventricular septal defect and patent ductus arteriosus)."
 An autosomal dominance is one of the many ways that a trait or disorder can be passed down through families. An autosomal dominant condition is?,A. Albinism,B. Huntington’s disease,C. Hurler’s syndrome,D. Hunter’s syndrome,E. Tay-Sachs disease.,51.0,B. Huntington's disease,"Huntington’s disease, an autosomal dominant disor - der, is caused by an expansion of the cytosine—ade - nine—guanine (CAG) trinucleotide in the huntingtin gene (HTT gene), also called the HD gene, that encodes the huntingtin protein, which results in an expanded polyglutamine tract. Huntington's disease (HD) is a neu - rodegenerative disorder and is characterized by chorei - form movements, psychiatric problems, and dementia."
