id,Question,A,B,C,D,E,F
Set_2: q24,"Cystic fibrosis (CF) is a multisystem disease affecting the lungs, digestive system, sweat glands, and reproduc - tive tract. Which chromosome encodes the cystic fibro - sis transmembrane conductance regulator (CFTR) protein?",21,3,18,7,X,
Set_2: q25,"Clinical triad of chronic sinusitis, bronchiectasis, and situs inversus is found in which of the following condition?",Necrotizing pneumonias,Cystic fibrosis,Wegener’s granulomatosis,Kartagener’s syndrome,Asthma,
Set_2: q26,"Which of the following is a characteristic of hereditary disease with neurological (progressive cerebellar ataxia), telangiectasia, and immune deficiency causing frequent respiratory tract infections?",Friedreich disease,Metachromatic leukodystrophy,Ataxia telangiectasia,Krabbe disease,Gaucher disease,
Set_2: q27,Which of the following inheritance pattern is most likely to be present in Peutz-Jeghers syndrome?,Autosomal dominant,Autosomal recessive,X-linked recessive,X-linked dominant,Multifactorial,
Set_2: q28,Which of the following syndrome is due to deletion of paternal chromosomes 15?,Angelman syndrome,Fragile X syndrome,Marfan syndrome,Ehlers-Danlos syndrome,Prader–Willi syndrome,
Set_2: q29,Which of the following is the most common chromo - somal disorder because of trisomy 21?,Edward syndrome,Patau syndrome,Cri du Chat syndrome,Down syndrome,Klinefelter syndrome,
Set_3: q1,Bruton’s X-linked agammaglobulinemia,Common variable immunodeficiency,Severe combined immunodeficiency,Selective IgA deficiency,C1 inhibitor deficiency,,
Set_3: q2,Which immunoglobulin crosses the placenta?,IgM.,IgG,IgA,IgE,IgD,
Set_3: q3,"In the lymph node, dendritic cells would be found in the:",Subcapsular sinus,Primary follicle,Germinal center,Outer cortex,Medulla,
Set_3: q4,Immunological memory is a unique property of the immune system. Which of the following are the immu - nological memory cells?,T lymphocytes and NK cells,B lymphocytes and dendritic cells,T and B lymphocytes,Macrophages and B lymphocytes,B lymphocytes and lymphokine-activated killer (LAK) cells,
Set_3: q5,Certain drugs may trigger an autoimmune response. Drug induced lupus antibodies are:,Anti-Ro antibodies,Anti-histone antibodies,Anti-Ul-ribonucleoprotein antibodies,Anti-Sm antibodies,Anti-Jo-1 antibodies,
Set_3: q6,Hypersensitivity reactions are immune responses. Which of the following hypersensitivity immune response is responsible for Myasthenia Gravis?,Type II hypersensitivity,Type I hypersensitivity,Type IV hypersensitivity,Type III hypersensitivity,None of the above,
Set_3: q7,Interleukin is defined as any class of glycoproteins pro - duced by leukocytes for regulating immune responses. Which interleukin is required for differentiation of eosinophils?,IL-2,IL-3,IL-4,IL-5,IL-10,
Set_3: q8,Which of the following Interleukin is being used as immunotherapy for renal cell carcinoma and metastatic melanoma?,Interleukin-1,Interleukin-2,Interleukin-4,Interleukin-5,Interleukin-10,
Set_3: q9,A 1-year-old boy has repeated upper respiratory infec - tions. Stool examination shows giardia lamblia cysts. Which of the following laboratory finding is likely to be useful in this boy?,Deficiencies of C5-C9,Low or absent immunoglobulins,Selective IgA deficiency,Antibodies to human immunodeficiency virus,Low CD4 count,
Set_3: q10,Which of the following is produced by human cells in response to viral infection?,Tumor necrosis factors  18,Interferons,Interleukin-2,Interleukin-5,Interleukin-10,
Set_3: q11,Which of the following causes increased susceptibility to giardia lamblia?,Common variable immunodeficiency,DiGeorge syndrome,Severe combined immunodeficiency,Wiskott-Aldrich syndrome,Chronic granulomatous disease,
Set_3: q12,"A child is getting infections of candida, cytomegalovirus (CMV) and pneumocystis jirovecii (carinii). What is the best etiology of these infections?",Common variable immunodeficiency,DiGeorge’s syndrome,Severe combined immunodeficiency,Wiskott-Aldrich syndrome,Bruton’s X-linked agammaglobulinemia,
Set_3: q13,A latent HIV reservoir is a group of immune cells in the body that are infected with HIV but are not actively producing new HIV . Which of the following cells are the reservoirs for the HIV virus?,B lymphocytes,T lymphocytes,Eosinophils,Follicular dendritic cells,Neutrophils,
Set_3: q14,Which of the following are examples of Type IV hypersensitivity?,Atopic eczema and contact dermatitis,Tuberculosis and graft-versus-host disease,Leprosy and myasthenia gravis,Poison Ivy and Arthus reaction,Chronic granulomatous disease and chronic allograft rejection.,
Set_3: q15,Langerhans cell histiocytosis (LCH) is a rare disease. Which of the following is a marker for Langerhans cells?,CD30,CD1a,CD10,CD34,CD31,
Set_3: q16,Amyloidosis is the general term used to refer to the extracellular tissue deposition of fibrils. Amyloid is stained by?,PAS,Congo red,Hematoxylin and eosin,Methenamine silver,Silver nitrate,
Set_3: q17,The mechanism by which an antigen triggers an adaptive immune response involves several steps. Which of the following cells do not act as antigen presenting cells?,B lymphocytes,Macrophages,Osteoclasts,Dendritic cells,Basophils,
Set_3: q18,Which is the most common specific antibody deficiency?,IgA,IgD,IgE,IgG,IgM,
Set_3: q19,"A 2-year-old boy presents with fever and a history of recurrent bacterial infections. Physical examination shows lymphadenitis, hepatospleno-megaly, and pneu - monia. Which of the following underlying condition best explain these findings?",Cystic fibrosis,Glucose-6-phosphate dehydrogenase (G6PD) deficiency,"Leukocyte adhesion deficiency, type 1",DiGeorge syndrome,Chronic granulomatous disease,
Set_3: q20,Which of the following diseases is associated with HLA- B27 antigen?,Rheumatoid arthritis,Ankylosing spondylitis,Felty syndrome,Systemic lupus erythematosus (SLE),Hashimoto thyroiditis,
Set_3: q21,Children with selective IgA deficiency are at increased risk for which of the following gastrointestinal condition?,Tufting enteropathy,Celiac disease,Juvenile polyposis,Necrotizing enterocolitis,Autoimmune enteropathy,
Set_3: q22,Which of the following type of hypersensitivity is medi - ated by T cells?,Type I,Type II,Type III,Type IV,,
Set_3: q23,What is the best marker for enumerating total peripheral blood T cells?,CD4,CD83 Immune System Disorders 19,CD11b,CD14,CD3,
Set_3: q24,The high endothelial venules (HEV) are the sites at which:,Memory B cells enter the lymph node,Plasma cells leave the lymph node.,Foreign antigen enters the lymph node,Mature B cells leave the lymph node,Secretory antibody leaves the lymph node,
Set_3: q25,Which complement factor levels are assayed for defects in the alternate pathway of activation?,C1q,C3,C4,C5,C9,
Set_3: q26,What chromosome is home to the major histocompati - bility complex?,3,6,11,13,17,
Set_3: q27,Which of the following antibody activates complement through the alternate pathway?,IgG,IgM,IgA,IgD,IgE,
Set_3: q28,What type of immunoglobulin receptor do mast cells express?,Fc alpha,Fc beta,Fc gamma,Fc delta,Fc epsilon,
Set_3: q29,Which chromosome bears the genes for the heavy chains?,2,22,14,16,Depends on which heavy chain,
Set_3: q30,Which of the following is an underlying cause of Henoch-Schonlein purpura?,Type III hypersensitivity reaction,Type II hypersensitivity reaction,Type IV hypersensitivity reaction,Type I hypersensitivity reaction,,
Set_4: q1,CDK4,Ki-ras,Cyclin D1 gene,L-myc,N-myc,,
Set_4: q2,"A 35-year-old HIV positive male patient presents with nontender, firm, rubbery lymph nodes in the left side of the neck. Histologically, large Hodgkin–Reed-Sternberg cells with multiple nuclei and prominent nucleoli are present. What is the diagnosis?",Nodular sclerosis cHL,Lymphocyte depleted cHL,Lymphocyte rich cHL,Non-Hodgkin lymphoma,Mixed cellularity cHL,
Set_4: q3,Which of the oncogene is present in squamous cell car - cinoma in the lung?,ErbB1,ErbB2,ErbB3,Ki-ras,Cyclin D,
Set_4: q4,Which of the following carcinoma shows increased expression of ERBB2 (HER2) gene?,Carcinoma of the stomach,Melanoma,Astrocytoma,Infiltrating ductal and intraductal carcinoma of the breast,Ovarian carcinoma  24,
Set_4: q5,Microscopic images from lymph node of a 35-year-old male patient are shown below. What is the diagnosis?,Mixed cellularity Hodgkin lymphoma,Nodular sclerosis Hodgkin lymphoma,Lymphocyte rich classical Hodgkin lymphoma,Lymphocyte depleted Hodgkin lymphoma,Non-Hodgkin lymphoma,
Set_4: q6,"Which of the following oncogene is found in the carci - noma of the lung, pancreas, and colon?",Ki-ras,L-myc,N-myc,CDK4,RET,
Set_4: q7,Mediastinal tumors are rare neoplasms. The most com - mon tumor of the mediastinum is:,Lymphoma,Mediastinal germ cell tumor,Thymoma,Mediastinal lymphangioma,Mediastinal parathyroid adenomas,
Set_4: q8,Naphthylamine is a chemical carcinogen responsible for which of the following carcinoma?,Angiosarcoma of liver,Squamous cell carcinoma of skin,Bronchogenic carcinoma,Carcinoma bladder,Lymphoma,
Set_4: q9,Malignant tumor of mesenchymal tissue is referred to as?,Choristoma,Carcinoma,Hamartoma,Teratoma,Sarcoma,
Set_4: q10,"A 20-year-old male presents with anterior mediastinal mass. Biopsy of the mass is performed and H&E stained section shows cells which express CD20+, BSAP+, and EMA+. They show CD15 and CD30 expression. What is the diagnosis?",Nodular sclerosis Hodgkin lymphoma.,Mixed cellularity Hodgkin lymphoma.,Lymphocyte depleted Hodgkin lymphoma.,Lymphocyte rich Hodgkin lymphoma.,Lymphocyte predominant Hodgkin lymphoma,
Set_4: q11,A 10-year-old male presents with a rapidly enlarging maxillary mass. Biopsy is done and the microscopic pic - ture shows starry-sky appearance. What is the diagnosis?4 Neoplastic Disorders 25,Follicular lymphoma,Mantle cell lymphoma,Hodgkin lymphoma,Burkitt lymphoma,Lymphoblastic lymphoma,
Set_4: q12,A 59-year-old female with HIV/AIDS with history of diffuse large B cell lymphoma presents with left supra - clavicular adenopathy. Laboratory findings shows leu - kopenia and lymphopenia. An excisional biopsy of the enlarged lymph node is performed and H&E picture shows diffuse effacement of the lymph node by sheets of histiocytes. What is the diagnosis?,Mycobacterium tuberculosis infection,Cytomegalovirus infection,Nocardia infection,Actinomyces infection,Mycobacterium avium-intracellulare infection,
Set_4: q13,"Some benign tumors of the liver are typically discovered incidentally at laparotomy, autopsy, or during an imag - ing test performed for unrelated conditions. Which of the following is the most common benign tumor in the liver?",Hepatoma,Hemangioma,Hepatic adenoma,Cholangiosarcoma,Focal nodular hyperplasia,
Set_4: q14,A 39-year-old man comes to the dentist’s office with symptoms of enlargement of left tonsil for the last 6 months. Physical examination shows enlargement of right palatine tonsil. Biopsy is done and microscopic picture shows effacement of germinal centers which are replaced by irregular nodules composed of small lym - phocytes. What is the diagnosis?,Hodgkin’s disease,Reactive lymphoid hyperplasia,Follicular lymphoma,Tonsillar abscess,Diffuse lymphoma,
Set_4: q15,A 55-year-old male with a history of hyperimmuno- globulinemia presents with enlarged cervical lymph nodes. Biopsy of the lymph node is done and microscopic picture shows polymorphous appearance of a lymph node with diffuse effacement of the architecture. There is increased endothelial venules. What is the diagnosis?,Multicentric giant lymph node hyperplasia,Angioimmunoblastic T cell lymphoma,Lymphoma,Classic Hodgkin lymphoma mixed cellularity type,Sezary syndrome,
Set_4: q16,A 37-year-old male presents with lymph nodes in the right side of the neck. Biopsy of a lymph node is done and microscopic picture shows mixed inflammatory background without sclerosis and Hodgkin–Reed- Sternberg cells. What is the diagnosis?,Nodular sclerosis cHL,Mixed cellularity cHL,Lymphocyte rich cHL,Lymphocyte depleted cHL,Lymphocyte predominant Hodgkin lymphoma,
Set_4: q17,Prostate cancer is the second most common cancer in men worldwide. Which fusion gene is found in prostate cancer?,TMPRSS2-ERG,MYB-NFIB,PAX8-PPARG,ETV6-NTRK3,TFG-GPR128,
Set_4: q18,"A 17-year-old male presents with recurrent fever, weight loss, and a large painless lump in his groin for the last 8 months. Laboratory findings show pancytopenia. Imaging studies reveal diffuse lymphadenopathy. Cells shows anaplastic lymphoma kinase positivity. What is the diagnosis?",Anaplastic large cell lymphoma,Classical Hodgkin lymphoma,Diffuse large B cell lymphoma,Metastatic carcinoma,Malignant histiocytosis,
Set_4: q19,A 14-year-old boy presents with submandibular lymph - adenopathy for the last 2 months. Lymph nodes are freely mobile and firm. Biopsy shows scattered epitheli - oid histiocytes scattered in the cortical and paracortical areas. What is the diagnosis?,Toxoplasmosis,Cat scratch disease,Histoplasmosis,Lymphoblastic lymphoma,Metastatic cancer with unknown primary site,
Set_4: q20,An 8-year-old boy brought to the pediatrician office by his mother. Physical examination shows hepatospleno - megaly. Laboratory findings show elevated transami - nases. Bone marrow biopsy shows numerous macrophages with a wrinkled tissue paper appearance. What is the diagnosis?,Niemann-Pick disease,GM1 gangliosidosis,Gaucher disease,Hand-Schuller-Christian disease,Mastocytosis Multiple Choice Questions 26,
Set_4: q21,Microscopic picture of a type of Hodgkin lymphoma is shown below. Cells have a strong expression of CD,Nodular sclerosis cHL (NSCHL),Mixed cellularity cHL (MCCHL),Lymphocyte rich cHL (LRCHL),Lymphocyte depleted cHL (LDCHL),Nodular lymphocyte predominant HL (NLPHL),
Set_4: q22,"A 57-year-old male present with fever, night sweats, and enlarging lump in his right neck. Imaging studies shows diffuse mediastinal and retroperitoneal lymphadenopa - thy. Excisional biopsy shows numerous large cells with prominent nucleoli. The tumor shows CD20 positivity. What is the diagnosis?",Follicular lymphoma,Lymphoblastic lymphoma,Diffuse large B cell lymphoma,Mantle cell lymphoma,Mediastinal lymphoma,
Set_5: q1,Mucormycosis,Aspergillosis,Actinomyces israelii,Candida albicans,Leishmania major,,
Set_5: q2,Patient was admitted to the hospital because of bleeding duodenal ulcer. Culture at 37oC grew urease-positive curved bacteria. The most likely causative agent is:,Campylobacter jejuni,Streptococcus faecalis,Enterococcus,Pseudomonas aeruginosa,Helicobacter pylori,
Set_5: q3,A patient with uncontrolled diabetes mellitus gets fungal infection. Microscopic examination of the fungus shows that the hyphae are septate and branch at more acute angles. What is the diagnosis?,Mucormycosis,Aspergillosis,Actinomyces israelii,Candida albicans,Blastomycosis,
Set_5: q4,"A 2-year-old boy presents with symptoms of large vol - ume, watery diarrhea for the last one day. Polymerase chain reaction testing of the stool sample yields a virus with a segmented, double-stranded RNA genome. Which organism is responsible for this presentation?",Rotavirus,Enteric coronaviruses,Norwalk virus,Calicivirus,Entamoeba histolytica,
Set_5: q5,"A 50-year-old woman is admitted to the hospital with fever, headache, confusion, and ataxia. Similar cases are also reported in a neighboring hospital. Which organism is most likely responsible for this outbreak?",Escherichia coli O157:H7,Streptococcus pneumoniae,Klebsiella pneumoniae,Vibrio cholerae,Listeria monocytogenes,
Set_5: q6,Which of the following characteristics is an important virulence factor in Haemophilus influenzae type b?,Exotoxin,Polyribosyl ribitol phosphate,Endotoxin,Adhesins,Yersiniabactin,
Set_5: q7,Which of the following pathogens is a leading cause of atypical pneumonia?,Mycoplasma pneumoniae,Streptococcus pneumoniae,Haemophilus influenzae,Chlamydia pneumoniae,Legionella pneumophila,
Set_5: q8,Which of the following requires airborne precautions?,Disseminated varicella zoster,Allergic contact dermatitis,Influenza A,Rubella,Ebola,
Set_5: q9,"A 42-year-old patient presents with fever, sore throat, tachypnea and shortness of breath, and maculopapular rash on the trunk is hospitalized in the emergency. Patients also developed bleeding in the stool, petechiae, ecchymoses, oozing from venipuncture sites and muco - sal bleeding. Patient also develops meningoencephalitis. Unfortunately the patient died due to multi-organ failure  32 and shock. Which of the following infectious agents is most likely to produce these findings?",Influenza virus,Ebola virus,Lassa virus,Yellow fever virus,Cytomegalovirus,
Set_5: q10,"A 40-year-old homosexual man presents with anorec - tal spasms, pain, bloody discharge, and peri-anal sores. Patients also reported a genital ulcer. Which of the following is responsible for this patient conditions?",Human papillomavirus,Trichomoniasis,Chlamydia trachomatis,Neisseria gonorrhoeae,Herpes simplex virus (HSV) infection,
Set_5: q11,Which of the following pathogenic bacteria produces swarming growth on blood agar?,Proteus species,Clostridium botulinum,Staphylococcus aureus,Escherichia coli,Klebsiella pneumoniae,
Set_5: q12,Most common virus associated with laryngeal papilloma is:,HPV 6,HPV 24,HPV 32,HPV 36,HPV 17,
Set_5: q13,A photograph is shown below. What is the diagnosis?,Loa loa,Mansonella species,Brugia malayi,Brugia timori,Wuchereria bancrofti,
Set_5: q14,Which of the following organism requires fatty-  acid supplementation for growth?,Aspergillus fumigatus,Histoplasma capsulatum,Coccidioides immitis,Malassezia furfur,Candida albicans,
Set_5: q15,"A 65-year-old man presents with fever, severe headache, and nuchal rigidity. Physical examination in the emer - gency department shows a Glasgow coma score of",Arbovirus,Herpesvirus,Mycobacterium tuberculosis,Neisseria meningitidis,Streptococcus pneumoniae,
