id,Question,A,B,C,D,E,F
Set_1: q18, Walerian degeneration is seen in:,A. Part of nerve attached to cell body in a nerve that is cut peripherally,B. Cell body that is not attached to the nerve that is cut,C. Part of nerve not attached to cell body,D. Cell body that is attached to the nerve that is cut,E. It is not a type of nerve injury,
Set_1: q19, Granuloma is characterized by-,A. Focal accumulation of activated macrophages,B. Collection of neutrophils,C. Newly formed vessels,D. Collection of eosinophils,E. Collection of basophils,
Set_1: q20," Marked mitochondrial dysfunction, mitochondrial swelling and large densities within the mitochondrial matrix are seen in which type of cell injury?",A. Cell death,B. Irreversible cell injury,C. Reversible cell injury,D. Necrosis,E. Apoptosis,
Set_1: q21," To which of the following family of chemical mediators of inflammation, lipoxins belong?",A. Chemokines,B. Arachidonic acid metabolites,C. Kinin system,D. Cytokines,E. Vasoactive amines,
Set_1: q22, Enzyme responsible for respiratory burst is?,A. Peroxidase,B. Catalase,C. NADPH oxidase,D. Dehydrogenase,E. Lysozyme,
Set_1: q23, Procalcitonin is considered as a marker for?,A. Sepsis,B. Medullary carcinoma of thyroid,C. Vitamin D resistant rickets,D. Parathyroid adenoma,E. Hyperthyroidism,
Set_1: q24," A 92-year-old man presents to his health care provider with a history of mild dementia, osteoarthritis, emphy - sema, cataract, and hypertension. What is the most likely diagnosis?",A. Hypovitaminosis E,B. Werner syndrome,C. Natural aging,D. Progeria (Hutchinson-Gilford syndrome),"E. Alzheimer’s disease1 Cellular Pathology, Inflammation, and Repair 3",
Set_1: q25, What cellular adaptation has occurred in this tissue shown below?,A. Metaplasia,B. Hyperplasia,C. Fatty change,D. Hypertrophy,E. Atrophy,
Set_1: q26, Which of the following disorder is more likely to be associated with an exudate rather than a transudate?,A. Congestive heart failure,B. Inflammation,C. Nephrotic syndrome,D. Chronic liver disease,E. Diabetes mellitus,
Set_1: q27, In acute inflammation hemodynamic changes like mas - sive vasodilation are mediated by which of the following chemicals?,A. Histamine,B. Bradykinin,C. Prostaglandins,"D. Histamine, bradykinin, and prostaglandins",E. Histamine and bradykinin,
Set_1: q28, Inflammation is associated with which of the following cytokines?,A. Cytokines (IL-1),B. Cytokines (IL-6),C. Tumor necrosis factor-alpha,"D. IL-1, IL-6, and tumor necrosis factor-alpha",E. Prostacyclin (PGI 2),
Set_1: q29, Cytokines IL-8 is produced by which cell?,A. Neutrophil,B. Macrophage,C. Lymphocyte,D. Eosinophil,E. Basophil,
Set_1: q30, Kupffer cells are found in which system?,A. Connective tissue,B. Lung,C. Liver,D. Bone,E. Brain,
Set_1: q31, Which of the mitochondrial enzyme that activates cas - pases and indirectly brings about cell death through intrinsic pathway apoptosis?,A. Cytochrome c,B. Monoamine oxidase,C. Fatty acid CoA ligase,D. Cytochrome c-reductase,E. Rotenone-insensitive,
Set_1: q32, Virulent organism producing severe tissue damage and extensive cell death is defined as:,A. Exudative inflammation,B. Necrotizing inflammation,C. Granulomatous inflammation,D. Interstitial inflammation,E. Cytopathic inflammation,
Set_1: q33, Which of the following is a major chemotactic factor for lung macrophages?,A. CXCL17,B. N-formylmethionine,C. Leukotriene B4,D. Complement system produce C5a,E. α-Chemokines,
Set_1: q34, Which of the following cell plays an important role in parasitic infections?,A. Neutrophil,B. Macrophage,C. Lymphocyte,D. Eosinophil,E. Basophil,
Set_1: q35, What is the effect of bradykinin?,A. Pain,B. Bronchodilation,C. Vasoconstriction,D. Decrease vascular permeability,E. Platelet aggregation,
Set_1: q36, What are the mediators of fever?,A. Cytokines IL-1,B. Leukotriene B4,C. Leukotriene C4,D. Prostacyclin,E. Thromboxane A2,
Set_1: q37, Which of the following cytokine is involved in the pathogenesis of Castleman disease?,A. IL-2,B. IL-4,C. IL-6 Multiple Choice Questions 4,D. IL-10,E. IL-5,
Set_1: q38, Which of the following important mediators in asthma?,"A. Cytokines IL-4, IL-5, and IL-13",B. Interleukin-7 (IL-7),C. Interleukin-1 (IL-1),D. Interleukin-6 (IL-6),E. Interleukin-8 (IL-8),
Set_2: q1,"A 13-year-old female patient presents with clinical fea - tures of failure to develop secondary sex characteristics, short stature, primary amenorrhea, infertility, cystic hygroma, and web neck. What is the diagnosis?",A. Turner syndrome,B. Klinefelter syndrome,C. Edward syndrome,D. Cri du Chat syndrome,E. Patau syndrome,
Set_2: q2,What is the karyotype of Klinefelter syndrome?,A. 45 XO,B. 47 XXY,C. 46 XX,D. 47 XX,E. 47 XY,
Set_2: q3,Chromosomal aberrations are due to a change in the nor - mal chromosome number or a change in the structure of a chromosome. What is the genetic abnormality in Cri du Chat syndrome?,A. 45 XO,B. 47 XXY,C. Deletion of chromosome 5p,D. 47 XX,E. 47 XY,
Set_2: q4,What are the clinical findings of Edward syndrome?,"A. Mental retardation, low set ears, micrognathia, over - lapping of the fingers, and rocker-bottom feet","B. Mental retardation, cleft lip and palate, cardiac defects, and polydactyly","C. Mental retardation, characteristic high pitched cat- like cry, congenital heart disease, and microcephaly","D. Testicular atrophy, female distribution of hair, and gynecomastia","E. Short stature, primary amenorrhea, infertility, cystic hygroma, and webbing of the neck",
Set_2: q5,"Which of the following is the most frequent form of familial mental retardation, mainly in males, with large ears and macro-orchidism?",A. Fragile X syndrome,B. Sotos syndrome,C. Asperger syndrome,D. Prader-Willi syndrome,E. Rett syndrome,
Set_2: q6,Which of the following statements is correct regarding Niemann-Pick disease?,A. Enzyme defect is a deficiency of sphingomyelinase,B. Enzyme defect is a deficiency of glucocerebrosidase,C. Enzyme defect is a deficiency of hexosaminidase A,D. Enzyme defect is a deficiency of glucose-6-phospha - tase,E. Enzyme defect is a deficiency of lysosomal glucosi - dase (acid maltase),
Set_2: q7,"Which of the following is an autosomal recessive muco - polysaccharide storage disease which leads to typical facial dysmorphism with short stature, dementia, cor - neal clouding, and hepatosplenomegaly?",A. Hurler syndrome,B. Hunter syndrome,C. Sanfilippo syndrome,D. Maroteaux-Lamy syndrome,E. Sly syndrome,
Set_2: q8,"Which of the following syndromes present as a recessive syndrome of primordial growth deficiency, telangiec - tatic erythema, and tendency to develop malignant tumors?",A. Turner syndrome,B. Klinefelter syndrome,C. Edward syndrome,D. Cri du Chat syndrome,E. Bloom syndrome,
Set_2: q9,"Which of the following condition presents with classic generalized skeletal dysplasia with disproportionate  10 short stature, large head, coarse facial features, and X-ray findings of thoracolumbar kyphosis and lumbosa - cral lordosis?",A. Thanatophoric dysplasia,B. Achondroplasia,C. Hypochondroplasia,D. Pseudoachondroplasia,E. Metatropic dwarfism,
Set_2: q10, Which of the following is a common finding in sponta - neously aborted fetuses?,A. Inversion,B. Deletion,C. Polyploidy,D. Nondisjunction,E. Trinucleotide repeat mutations,
Set_2: q11, Which of the following is a hereditary metabolic disor - der with short stature and rachitic bone changes?,A. Familial hypophosphatemic rickets,B. Vitamin D deficiency rickets,C. Metaphyseal chondrodysplasia syndrome,D. Cartilage-hair hypoplasia,E. Pseudohypoparathyroidism,
Set_2: q12," Which of the following is a syndrome of oculocutaneous albinism, frequent bacterial infections, and large lyso - somal granules in the granulocytes?",A. Cutaneous T cell lymphoma,B. Oculocutaneous albinism,C. Chediak-Higashi syndrome,D. Pyoderma gangrenosum,E. Hemophagocytic lymphohistiocytosis (HLH),
Set_2: q13, What are the clinical findings of Patau syndrome?,"A. Mental retardation, low set ears, micrognathia, over - lapping fixed fingers, and Rocker-bottom feet.","B. Mental retardation, cleft lip and palate, cardiac defects, and polydactyly","C. Mental retardation, characteristic high pitched cat- like cry, congenital heart disease, and microcephaly","D. Testicular atrophy, female distribution of hair, and gynecomastia","E. Short stature, primary amenorrhea, infertility, cystic hygroma, and webbing of the neck",
Set_2: q14, An autosomal dominance is one of the many ways that a trait or disorder can be passed down through families. An autosomal dominant condition is?,A. Albinism,B. Huntington’s disease,C. Hurler’s syndrome,D. Hunter’s syndrome,E. Tay-Sachs disease.,
Set_2: q15, Which of the following statements is correct regarding Gaucher disease?,A. Enzyme defect is a deficiency of sphingomyelinase,B. Enzyme defect is a deficiency of glucocerebrosidase,C. Enzyme defect is a deficiency of hexosaminidase A,D. Enzyme defect is a deficiency of glucose-6-phospha - tase,E. Enzyme defect is a deficiency of lysosomal glucosi - dase (acid maltase),
Set_2: q16, Which of the following medical condition is caused by deficiency of the enzyme hexosaminidase?,A. Tay-Sachs disease,B. Hurler syndrome,C. Fabry disease,D. Pompe disease,E. V on Gierke disease,
Set_2: q17," Which of the following is a characteristic of hereditary disorder of multiple cafe au lait spots, skin tumors, skel - etal and neurological signs?",A. Multiple lentigines syndrome,B. McCune-Albright syndrome,C. Acoustic neuroma,D. Neurofibromatosis type 2,E. Neurofibromatosis type 1,
Set_2: q18, Marfan syndrome is an autosomal dominant connective tissue disorder. Which of the following mutation is seen in Marfan syndrome?,A. Fibrillin-1,B. Fibrillin-2,C. P mutation in chromosome 12q,D. DCP mutation in chromosome 15,E. P mutation in chromosome 11 p,
Set_2: q19," Which of the following is a characteristic syndrome of macular hemangiomas, especially of the face, signs of cerebral foci, and mental retardation common?",A. Sturge-Weber syndrome,B. Klippel-Trenaunay-Weber syndrome,C. Beckwith-Wiedemann syndrome,D. Siderosis,E. Dyke-Davidoff-Masson syndrome,
Set_2: q20, Duchenne muscular dystrophy (DMD) is a rare muscle disorder. Duchenne muscular dystrophy is inherited as:,A. Mitochondrial DNA,B. Autosomal dominant,C. X-linked recessive,D. X-linked dominant,E. Multifactorial,
Set_2: q21, A 35-year-old woman has V on Hippel-Lindau disease. The gene implicated in the renal tumor associated with V on Hippel-Lindau disease is located on chromosome:,A. 3p,B. 5q,C. 11p,D. 13q,E. 17q2 Genetic Disorders 11,
Set_2: q22, A 5-year-old child presents with a history of viral and fungal infections and has calcium of 5.6 mg/dL.  The most likely diagnosis is:,A. Fragile X syndrome,B. X-linked agammaglobulinemia,C. DiGeorge’s syndrome,D. Ehlers-Danlos syndrome (EDS),E. Tay-Sachs disease,
Set_2: q23, Which of the following medical condition is an X-linked recessive disorder?,A. Familial hypercholesterolemia,B. V on Hippel-Lindau disease,C. Marfan’s syndrome,D. Wiskott-Aldrich syndrome,E. Albinism,
Set_2: q24," Cystic fibrosis (CF) is a multisystem disease affecting the lungs, digestive system, sweat glands, and reproduc - tive tract. Which chromosome encodes the cystic fibro - sis transmembrane conductance regulator (CFTR) protein?",A. 21,B. 3,C. 18,D. 7,E. X,
Set_2: q25," Clinical triad of chronic sinusitis, bronchiectasis, and situs inversus is found in which of the following condition?",A. Necrotizing pneumonias,B. Cystic fibrosis,C. Wegener’s granulomatosis,D. Kartagener’s syndrome,E. Asthma,
Set_2: q26," Which of the following is a characteristic of hereditary disease with neurological (progressive cerebellar ataxia), telangiectasia, and immune deficiency causing frequent respiratory tract infections?",A. Friedreich disease,B. Metachromatic leukodystrophy,C. Ataxia telangiectasia,D. Krabbe disease,E. Gaucher disease,
Set_2: q27, Which of the following inheritance pattern is most likely to be present in Peutz-Jeghers syndrome?,A. Autosomal dominant,B. Autosomal recessive,C. X-linked recessive,D. X-linked dominant,E. Multifactorial,
Set_2: q28, Which of the following syndrome is due to deletion of paternal chromosomes 15?,A. Angelman syndrome,B. Fragile X syndrome,C. Marfan syndrome,D. Ehlers-Danlos syndrome,E. Prader–Willi syndrome,
Set_2: q29, Which of the following is the most common chromo - somal disorder because of trisomy 21?,A. Edward syndrome,B. Patau syndrome,C. Cri du Chat syndrome,D. Down syndrome,E. Klinefelter syndrome,
Set_3: q1,Which is the most common inherited immunodeficiency?,A. Bruton’s X-linked agammaglobulinemia,B. Common variable immunodeficiency,C. Severe combined immunodeficiency,D. Selective IgA deficiency,E. C1 inhibitor deficiency,
Set_3: q2,Which immunoglobulin crosses the placenta?,A. IgM.,B. IgG,C. IgA,D. IgE,E. IgD,
Set_3: q3,"In the lymph node, dendritic cells would be found in the:",A. Subcapsular sinus,B. Primary follicle,C. Germinal center,D. Outer cortex,E. Medulla,
Set_3: q4,Immunological memory is a unique property of the immune system. Which of the following are the immu - nological memory cells?,A. T lymphocytes and NK cells,B. B lymphocytes and dendritic cells,C. T and B lymphocytes,D. Macrophages and B lymphocytes,E. B lymphocytes and lymphokine-activated killer (LAK) cells,
Set_3: q5,Certain drugs may trigger an autoimmune response. Drug induced lupus antibodies are:,A. Anti-Ro antibodies,B. Anti-histone antibodies,C. Anti-Ul-ribonucleoprotein antibodies,D. Anti-Sm antibodies,E. Anti-Jo-1 antibodies,
Set_3: q6,Hypersensitivity reactions are immune responses. Which of the following hypersensitivity immune response is responsible for Myasthenia Gravis?,A. Type II hypersensitivity,B. Type I hypersensitivity,C. Type IV hypersensitivity,D. Type III hypersensitivity,E. None of the above,
Set_3: q7,Interleukin is defined as any class of glycoproteins pro - duced by leukocytes for regulating immune responses. Which interleukin is required for differentiation of eosinophils?,A. IL-2,B. IL-3,C. IL-4,D. IL-5,E. IL-10,
Set_3: q8,Which of the following Interleukin is being used as immunotherapy for renal cell carcinoma and metastatic melanoma?,A. Interleukin-1,B. Interleukin-2,C. Interleukin-4,D. Interleukin-5,E. Interleukin-10,
Set_3: q9,A 1-year-old boy has repeated upper respiratory infec - tions. Stool examination shows giardia lamblia cysts. Which of the following laboratory finding is likely to be useful in this boy?,A. Deficiencies of C5-C9,B. Low or absent immunoglobulins,C. Selective IgA deficiency,D. Antibodies to human immunodeficiency virus,E. Low CD4 count,
Set_3: q10, Which of the following is produced by human cells in response to viral infection?,A. Tumor necrosis factors  18,B. Interferons,C. Interleukin-2,D. Interleukin-5,E. Interleukin-10,
Set_3: q11, Which of the following causes increased susceptibility to giardia lamblia?,A. Common variable immunodeficiency,B. DiGeorge syndrome,C. Severe combined immunodeficiency,D. Wiskott-Aldrich syndrome,E. Chronic granulomatous disease,
Set_3: q12," A child is getting infections of candida, cytomegalovirus (CMV) and pneumocystis jirovecii (carinii). What is the best etiology of these infections?",A. Common variable immunodeficiency,B. DiGeorge’s syndrome,C. Severe combined immunodeficiency,D. Wiskott-Aldrich syndrome,E. Bruton’s X-linked agammaglobulinemia,
Set_3: q13, A latent HIV reservoir is a group of immune cells in the body that are infected with HIV but are not actively producing new HIV . Which of the following cells are the reservoirs for the HIV virus?,A. B lymphocytes,B. T lymphocytes,C. Eosinophils,D. Follicular dendritic cells,E. Neutrophils,
Set_3: q14, Which of the following are examples of Type IV hypersensitivity?,A. Atopic eczema and contact dermatitis,B. Tuberculosis and graft-versus-host disease,C. Leprosy and myasthenia gravis,D. Poison Ivy and Arthus reaction,E. Chronic granulomatous disease and chronic allograft rejection.,
Set_3: q15, Langerhans cell histiocytosis (LCH) is a rare disease. Which of the following is a marker for Langerhans cells?,A. CD30,B. CD1a,C. CD10,D. CD34,E. CD31,
Set_3: q16, Amyloidosis is the general term used to refer to the extracellular tissue deposition of fibrils. Amyloid is stained by?,A. PAS,B. Congo red,C. Hematoxylin and eosin,D. Methenamine silver,E. Silver nitrate,
Set_3: q17, The mechanism by which an antigen triggers an adaptive immune response involves several steps. Which of the following cells do not act as antigen presenting cells?,A. B lymphocytes,B. Macrophages,C. Osteoclasts,D. Dendritic cells,E. Basophils,
Set_3: q18, Which is the most common specific antibody deficiency?,A. IgA,B. IgD,C. IgE,D. IgG,E. IgM,
Set_3: q19," A 2-year-old boy presents with fever and a history of recurrent bacterial infections. Physical examination shows lymphadenitis, hepatospleno-megaly, and pneu - monia. Which of the following underlying condition best explain these findings?",A. Cystic fibrosis,B. Glucose-6-phosphate dehydrogenase (G6PD) deficiency,"C. Leukocyte adhesion deficiency, type 1",D. DiGeorge syndrome,E. Chronic granulomatous disease,
Set_3: q20, Which of the following diseases is associated with HLA- B27 antigen?,A. Rheumatoid arthritis,B. Ankylosing spondylitis,C. Felty syndrome,D. Systemic lupus erythematosus (SLE),E. Hashimoto thyroiditis,
Set_3: q21, Children with selective IgA deficiency are at increased risk for which of the following gastrointestinal condition?,A. Tufting enteropathy,B. Celiac disease,C. Juvenile polyposis,D. Necrotizing enterocolitis,E. Autoimmune enteropathy,
Set_3: q22, Which of the following type of hypersensitivity is medi - ated by T cells?,A. Type I,B. Type II,C. Type III,D. Type IV,,
Set_3: q23, What is the best marker for enumerating total peripheral blood T cells?,A. CD4,B. CD83 Immune System Disorders 19,C. CD11b,D. CD14,E. CD3,
Set_3: q24, The high endothelial venules (HEV) are the sites at which:,A. Memory B cells enter the lymph node,B. Plasma cells leave the lymph node.,C. Foreign antigen enters the lymph node,D. Mature B cells leave the lymph node,E. Secretory antibody leaves the lymph node,
Set_3: q25, Which complement factor levels are assayed for defects in the alternate pathway of activation?,A. C1q,B. C3,C. C4,D. C5,E. C9,
Set_3: q26, What chromosome is home to the major histocompati - bility complex?,A. 3,B. 6,C. 11,D. 13,E. 17,
Set_3: q27, Which of the following antibody activates complement through the alternate pathway?,A. IgG,B. IgM,C. IgA,D. IgD,E. IgE,
Set_3: q28, What type of immunoglobulin receptor do mast cells express?,A. Fc alpha,B. Fc beta,C. Fc gamma,D. Fc delta,E. Fc epsilon,
Set_3: q29, Which chromosome bears the genes for the heavy chains?,A. 2,B. 22,C. 14,D. 16,E. Depends on which heavy chain,
Set_3: q30, Which of the following is an underlying cause of Henoch-Schonlein purpura?,A. Type III hypersensitivity reaction,B. Type II hypersensitivity reaction,C. Type IV hypersensitivity reaction,D. Type I hypersensitivity reaction,,
Set_4: q1,Which gene is found in Mantle cell lymphoma (MCL)?,A. CDK4,B. Ki-ras,C. Cyclin D1 gene,D. L-myc,E. N-myc,
Set_4: q2,"A 35-year-old HIV positive male patient presents with nontender, firm, rubbery lymph nodes in the left side of the neck. Histologically, large Hodgkin–Reed-Sternberg cells with multiple nuclei and prominent nucleoli are present. What is the diagnosis?",A. Nodular sclerosis cHL,B. Lymphocyte depleted cHL,C. Lymphocyte rich cHL,D. Non-Hodgkin lymphoma,E. Mixed cellularity cHL,
Set_4: q3,Which of the oncogene is present in squamous cell car - cinoma in the lung?,A. ErbB1,B. ErbB2,C. ErbB3,D. Ki-ras,E. Cyclin D,
Set_4: q4,Which of the following carcinoma shows increased expression of ERBB2 (HER2) gene?,A. Carcinoma of the stomach,B. Melanoma,C. Astrocytoma,D. Infiltrating ductal and intraductal carcinoma of the breast,E. Ovarian carcinoma  24,
Set_4: q5,Microscopic images from lymph node of a 35-year-old male patient are shown below. What is the diagnosis?,A. Mixed cellularity Hodgkin lymphoma,B. Nodular sclerosis Hodgkin lymphoma,C. Lymphocyte rich classical Hodgkin lymphoma,D. Lymphocyte depleted Hodgkin lymphoma,E. Non-Hodgkin lymphoma,
Set_4: q6,"Which of the following oncogene is found in the carci - noma of the lung, pancreas, and colon?",A. Ki-ras,B. L-myc,C. N-myc,D. CDK4,E. RET,
Set_4: q7,Mediastinal tumors are rare neoplasms. The most com - mon tumor of the mediastinum is:,A. Lymphoma,B. Mediastinal germ cell tumor,C. Thymoma,D. Mediastinal lymphangioma,E. Mediastinal parathyroid adenomas,
Set_4: q8,Naphthylamine is a chemical carcinogen responsible for which of the following carcinoma?,A. Angiosarcoma of liver,B. Squamous cell carcinoma of skin,C. Bronchogenic carcinoma,D. Carcinoma bladder,E. Lymphoma,
Set_4: q9,Malignant tumor of mesenchymal tissue is referred to as?,A. Choristoma,B. Carcinoma,C. Hamartoma,D. Teratoma,E. Sarcoma,
Set_4: q10," A 20-year-old male presents with anterior mediastinal mass. Biopsy of the mass is performed and H&E stained section shows cells which express CD20+, BSAP+, and EMA+. They show CD15 and CD30 expression. What is the diagnosis?",A. Nodular sclerosis Hodgkin lymphoma.,B. Mixed cellularity Hodgkin lymphoma.,C. Lymphocyte depleted Hodgkin lymphoma.,D. Lymphocyte rich Hodgkin lymphoma.,E. Lymphocyte predominant Hodgkin lymphoma,
Set_4: q11, A 10-year-old male presents with a rapidly enlarging maxillary mass. Biopsy is done and the microscopic pic - ture shows starry-sky appearance. What is the diagnosis?4 Neoplastic Disorders 25,A. Follicular lymphoma,B. Mantle cell lymphoma,C. Hodgkin lymphoma,D. Burkitt lymphoma,E. Lymphoblastic lymphoma,
Set_4: q12, A 59-year-old female with HIV/AIDS with history of diffuse large B cell lymphoma presents with left supra - clavicular adenopathy. Laboratory findings shows leu - kopenia and lymphopenia. An excisional biopsy of the enlarged lymph node is performed and H&E picture shows diffuse effacement of the lymph node by sheets of histiocytes. What is the diagnosis?,A. Mycobacterium tuberculosis infection,B. Cytomegalovirus infection,C. Nocardia infection,D. Actinomyces infection,E. Mycobacterium avium-intracellulare infection,
Set_4: q13," Some benign tumors of the liver are typically discovered incidentally at laparotomy, autopsy, or during an imag - ing test performed for unrelated conditions. Which of the following is the most common benign tumor in the liver?",A. Hepatoma,B. Hemangioma,C. Hepatic adenoma,D. Cholangiosarcoma,E. Focal nodular hyperplasia,
Set_4: q14, A 39-year-old man comes to the dentist’s office with symptoms of enlargement of left tonsil for the last 6 months. Physical examination shows enlargement of right palatine tonsil. Biopsy is done and microscopic picture shows effacement of germinal centers which are replaced by irregular nodules composed of small lym - phocytes. What is the diagnosis?,A. Hodgkin’s disease,B. Reactive lymphoid hyperplasia,C. Follicular lymphoma,D. Tonsillar abscess,E. Diffuse lymphoma,
Set_4: q15, A 55-year-old male with a history of hyperimmuno- globulinemia presents with enlarged cervical lymph nodes. Biopsy of the lymph node is done and microscopic picture shows polymorphous appearance of a lymph node with diffuse effacement of the architecture. There is increased endothelial venules. What is the diagnosis?,A. Multicentric giant lymph node hyperplasia,B. Angioimmunoblastic T cell lymphoma,C. Lymphoma,D. Classic Hodgkin lymphoma mixed cellularity type,E. Sezary syndrome,
Set_4: q16, A 37-year-old male presents with lymph nodes in the right side of the neck. Biopsy of a lymph node is done and microscopic picture shows mixed inflammatory background without sclerosis and Hodgkin–Reed- Sternberg cells. What is the diagnosis?,A. Nodular sclerosis cHL,B. Mixed cellularity cHL,C. Lymphocyte rich cHL,D. Lymphocyte depleted cHL,E. Lymphocyte predominant Hodgkin lymphoma,
Set_4: q17, Prostate cancer is the second most common cancer in men worldwide. Which fusion gene is found in prostate cancer?,A. TMPRSS2-ERG,B. MYB-NFIB,C. PAX8-PPARG,D. ETV6-NTRK3,E. TFG-GPR128,
Set_4: q18," A 17-year-old male presents with recurrent fever, weight loss, and a large painless lump in his groin for the last 8 months. Laboratory findings show pancytopenia. Imaging studies reveal diffuse lymphadenopathy. Cells shows anaplastic lymphoma kinase positivity. What is the diagnosis?",A. Anaplastic large cell lymphoma,B. Classical Hodgkin lymphoma,C. Diffuse large B cell lymphoma,D. Metastatic carcinoma,E. Malignant histiocytosis,
Set_4: q19, A 14-year-old boy presents with submandibular lymph - adenopathy for the last 2 months. Lymph nodes are freely mobile and firm. Biopsy shows scattered epitheli - oid histiocytes scattered in the cortical and paracortical areas. What is the diagnosis?,A. Toxoplasmosis,B. Cat scratch disease,C. Histoplasmosis,D. Lymphoblastic lymphoma,E. Metastatic cancer with unknown primary site,
Set_4: q20, An 8-year-old boy brought to the pediatrician office by his mother. Physical examination shows hepatospleno - megaly. Laboratory findings show elevated transami - nases. Bone marrow biopsy shows numerous macrophages with a wrinkled tissue paper appearance. What is the diagnosis?,A. Niemann-Pick disease,B. GM1 gangliosidosis,C. Gaucher disease,D. Hand-Schuller-Christian disease,E. Mastocytosis Multiple Choice Questions 26,
Set_4: q21, Microscopic picture of a type of Hodgkin lymphoma is shown below. Cells have a strong expression of CD20. What is the diagnosis?,A. Nodular sclerosis cHL (NSCHL),B. Mixed cellularity cHL (MCCHL),C. Lymphocyte rich cHL (LRCHL),D. Lymphocyte depleted cHL (LDCHL),E. Nodular lymphocyte predominant HL (NLPHL),
Set_4: q22," A 57-year-old male present with fever, night sweats, and enlarging lump in his right neck. Imaging studies shows diffuse mediastinal and retroperitoneal lymphadenopa - thy. Excisional biopsy shows numerous large cells with prominent nucleoli. The tumor shows CD20 positivity. What is the diagnosis?",A. Follicular lymphoma,B. Lymphoblastic lymphoma,C. Diffuse large B cell lymphoma,D. Mantle cell lymphoma,E. Mediastinal lymphoma,
Set_5: q1,"A 39-year-old diabetic patient presents with cough, fever, headache, nasal congestion, facial pain. On exam - ination there is black necrotic eschar in the nasal cavity. Histological examination of the affected tissue shows broad nonseptate hyphae with right-angle branching. What is the diagnosis?",A. Mucormycosis,B. Aspergillosis,C. Actinomyces israelii,D. Candida albicans,E. Leishmania major,
