Question,A,B,C,D,E,F
"A 13-year-old female patient presents with clinical fea - tures of failure to develop secondary sex characteristics, short stature, primary amenorrhea, infertility, cystic hygroma, and web neck. What is the diagnosis?",Turner syndrome,Klinefelter syndrome,Edward syndrome,Cri du Chat syndrome,Patau syndrome,
What is the karyotype of Klinefelter syndrome?,45 XO,47 XXY,46 XX,47 XX,47 XY,
Chromosomal aberrations are due to a change in the nor - mal chromosome number or a change in the structure of a chromosome. What is the genetic abnormality in Cri du Chat syndrome?,45 XO,47 XXY,Deletion of chromosome 5p,47 XX,47 XY,
What are the clinical findings of Edward syndrome?,"Mental retardation, low set ears, micrognathia, over - lapping of the fingers, and rocker-bottom feet","Mental retardation, cleft lip and palate, cardiac defects, and polydactyly","Mental retardation, characteristic high pitched cat- like cry, congenital heart disease, and microcephaly","Testicular atrophy, female distribution of hair, and gynecomastia","Short stature, primary amenorrhea, infertility, cystic hygroma, and webbing of the neck",
"Which of the following is the most frequent form of familial mental retardation, mainly in males, with large ears and macro-orchidism?",Fragile X syndrome,Sotos syndrome,Asperger syndrome,Prader-Willi syndrome,Rett syndrome,
Which of the following statements is correct regarding Niemann-Pick disease?,Enzyme defect is a deficiency of sphingomyelinase,Enzyme defect is a deficiency of glucocerebrosidase,Enzyme defect is a deficiency of hexosaminidase A,Enzyme defect is a deficiency of glucose-6-phospha - tase,Enzyme defect is a deficiency of lysosomal glucosi - dase (acid maltase),
"Which of the following is an autosomal recessive muco - polysaccharide storage disease which leads to typical facial dysmorphism with short stature, dementia, cor - neal clouding, and hepatosplenomegaly?",Hurler syndrome,Hunter syndrome,Sanfilippo syndrome,Maroteaux-Lamy syndrome,Sly syndrome,
"Which of the following syndromes present as a recessive syndrome of primordial growth deficiency, telangiec - tatic erythema, and tendency to develop malignant tumors?",Turner syndrome,Klinefelter syndrome,Edward syndrome,Cri du Chat syndrome,Bloom syndrome,
"Which of the following condition presents with classic generalized skeletal dysplasia with disproportionate  10 short stature, large head, coarse facial features, and X-ray findings of thoracolumbar kyphosis and lumbosa - cral lordosis?",Thanatophoric dysplasia,Achondroplasia,Hypochondroplasia,Pseudoachondroplasia,Metatropic dwarfism,
Which of the following is a common finding in sponta - neously aborted fetuses?,Inversion,Deletion,Polyploidy,Nondisjunction,Trinucleotide repeat mutations,
Which of the following is a hereditary metabolic disor - der with short stature and rachitic bone changes?,Familial hypophosphatemic rickets,Vitamin D deficiency rickets,Metaphyseal chondrodysplasia syndrome,Cartilage-hair hypoplasia,Pseudohypoparathyroidism,
"Which of the following is a syndrome of oculocutaneous albinism, frequent bacterial infections, and large lyso - somal granules in the granulocytes?",Cutaneous T cell lymphoma,Oculocutaneous albinism,Chediak-Higashi syndrome,Pyoderma gangrenosum,Hemophagocytic lymphohistiocytosis (HLH),
What are the clinical findings of Patau syndrome?,"Mental retardation, low set ears, micrognathia, over - lapping fixed fingers, and Rocker-bottom feet.","Mental retardation, cleft lip and palate, cardiac defects, and polydactyly","Mental retardation, characteristic high pitched cat- like cry, congenital heart disease, and microcephaly","Testicular atrophy, female distribution of hair, and gynecomastia","Short stature, primary amenorrhea, infertility, cystic hygroma, and webbing of the neck",
An autosomal dominance is one of the many ways that a trait or disorder can be passed down through families. An autosomal dominant condition is?,Albinism,Huntington’s disease,Hurler’s syndrome,Hunter’s syndrome,Tay-Sachs disease.,
Which of the following statements is correct regarding Gaucher disease?,Enzyme defect is a deficiency of sphingomyelinase,Enzyme defect is a deficiency of glucocerebrosidase,Enzyme defect is a deficiency of hexosaminidase A,Enzyme defect is a deficiency of glucose-6-phospha - tase,Enzyme defect is a deficiency of lysosomal glucosi - dase (acid maltase),
Which of the following medical condition is caused by deficiency of the enzyme hexosaminidase?,Tay-Sachs disease,Hurler syndrome,Fabry disease,Pompe disease,V on Gierke disease,
"Which of the following is a characteristic of hereditary disorder of multiple cafe au lait spots, skin tumors, skel - etal and neurological signs?",Multiple lentigines syndrome,McCune-Albright syndrome,Acoustic neuroma,Neurofibromatosis type 2,Neurofibromatosis type 1,
Marfan syndrome is an autosomal dominant connective tissue disorder. Which of the following mutation is seen in Marfan syndrome?,Fibrillin-1,Fibrillin-2,P mutation in chromosome 12q,DCP mutation in chromosome 15,P mutation in chromosome 11 p,
"Which of the following is a characteristic syndrome of macular hemangiomas, especially of the face, signs of cerebral foci, and mental retardation common?",Sturge-Weber syndrome,Klippel-Trenaunay-Weber syndrome,Beckwith-Wiedemann syndrome,Siderosis,Dyke-Davidoff-Masson syndrome,
Duchenne muscular dystrophy (DMD) is a rare muscle disorder. Duchenne muscular dystrophy is inherited as:,Mitochondrial DNA,Autosomal dominant,X-linked recessive,X-linked dominant,Multifactorial,
A 35-year-old woman has V on Hippel-Lindau disease. The gene implicated in the renal tumor associated with V on Hippel-Lindau disease is located on chromosome:,3p,5q,11p,13q,17q2 Genetic Disorders 11,
A 5-year-old child presents with a history of viral and fungal infections and has calcium of 5.6 mg/dL.  The most likely diagnosis is:,Fragile X syndrome,X-linked agammaglobulinemia,DiGeorge’s syndrome,Ehlers-Danlos syndrome (EDS),Tay-Sachs disease,
Which of the following medical condition is an X-linked recessive disorder?,Familial hypercholesterolemia,V on Hippel-Lindau disease,Marfan’s syndrome,Wiskott-Aldrich syndrome,Albinism,
"Cystic fibrosis (CF) is a multisystem disease affecting the lungs, digestive system, sweat glands, and reproduc - tive tract. Which chromosome encodes the cystic fibro - sis transmembrane conductance regulator (CFTR) protein?",21,3,18,7,X,
"Clinical triad of chronic sinusitis, bronchiectasis, and situs inversus is found in which of the following condition?",Necrotizing pneumonias,Cystic fibrosis,Wegener’s granulomatosis,Kartagener’s syndrome,Asthma,
"Which of the following is a characteristic of hereditary disease with neurological (progressive cerebellar ataxia), telangiectasia, and immune deficiency causing frequent respiratory tract infections?",Friedreich disease,Metachromatic leukodystrophy,Ataxia telangiectasia,Krabbe disease,Gaucher disease,
Which of the following inheritance pattern is most likely to be present in Peutz-Jeghers syndrome?,Autosomal dominant,Autosomal recessive,X-linked recessive,X-linked dominant,Multifactorial,
Which of the following syndrome is due to deletion of paternal chromosomes 15?,Angelman syndrome,Fragile X syndrome,Marfan syndrome,Ehlers-Danlos syndrome,Prader–Willi syndrome,
,,,,,,
Which is the most common inherited immunodeficiency?,Bruton’s X-linked agammaglobulinemia,Common variable immunodeficiency,Severe combined immunodeficiency,Selective IgA deficiency,C1 inhibitor deficiency,
Which immunoglobulin crosses the placenta?,IgM.,IgG,IgA,IgE,IgD,
"In the lymph node, dendritic cells would be found in the:",Subcapsular sinus,Primary follicle,Germinal center,Outer cortex,Medulla,
Immunological memory is a unique property of the immune system. Which of the following are the immu - nological memory cells?,T lymphocytes and NK cells,B lymphocytes and dendritic cells,T and B lymphocytes,Macrophages and B lymphocytes,B lymphocytes and lymphokine-activated killer (LAK) cells,
Certain drugs may trigger an autoimmune response. Drug induced lupus antibodies are:,Anti-Ro antibodies,Anti-histone antibodies,Anti-Ul-ribonucleoprotein antibodies,Anti-Sm antibodies,Anti-Jo-1 antibodies,
Hypersensitivity reactions are immune responses. Which of the following hypersensitivity immune response is responsible for Myasthenia Gravis?,Type II hypersensitivity,Type I hypersensitivity,Type IV hypersensitivity,Type III hypersensitivity,None of the above,
Interleukin is defined as any class of glycoproteins pro - duced by leukocytes for regulating immune responses. Which interleukin is required for differentiation of eosinophils?,IL-2,IL-3,IL-4,IL-5,IL-10,
Which of the following Interleukin is being used as immunotherapy for renal cell carcinoma and metastatic melanoma?,Interleukin-1,Interleukin-2,Interleukin-4,Interleukin-5,Interleukin-10,
A 1-year-old boy has repeated upper respiratory infec - tions. Stool examination shows giardia lamblia cysts. Which of the following laboratory finding is likely to be useful in this boy?,Deficiencies of C5-C9,Low or absent immunoglobulins,Selective IgA deficiency,Antibodies to human immunodeficiency virus,Low CD4 count,
Which of the following is produced by human cells in response to viral infection?,Tumor necrosis factors  18,Interferons,Interleukin-2,Interleukin-5,Interleukin-10,
Which of the following causes increased susceptibility to giardia lamblia?,Common variable immunodeficiency,DiGeorge syndrome,Severe combined immunodeficiency,Wiskott-Aldrich syndrome,Chronic granulomatous disease,
"A child is getting infections of candida, cytomegalovirus (CMV) and pneumocystis jirovecii (carinii). What is the best etiology of these infections?",Common variable immunodeficiency,DiGeorge’s syndrome,Severe combined immunodeficiency,Wiskott-Aldrich syndrome,Bruton’s X-linked agammaglobulinemia,
A latent HIV reservoir is a group of immune cells in the body that are infected with HIV but are not actively producing new HIV . Which of the following cells are the reservoirs for the HIV virus?,B lymphocytes,T lymphocytes,Eosinophils,Follicular dendritic cells,Neutrophils,
Which of the following are examples of Type IV hypersensitivity?,Atopic eczema and contact dermatitis,Tuberculosis and graft-versus-host disease,Leprosy and myasthenia gravis,Poison Ivy and Arthus reaction,Chronic granulomatous disease and chronic allograft rejection.,
Langerhans cell histiocytosis (LCH) is a rare disease. Which of the following is a marker for Langerhans cells?,CD30,CD1a,CD10,CD34,CD31,
Amyloidosis is the general term used to refer to the extracellular tissue deposition of fibrils. Amyloid is stained by?,PAS,Congo red,Hematoxylin and eosin,Methenamine silver,Silver nitrate,
The mechanism by which an antigen triggers an adaptive immune response involves several steps. Which of the following cells do not act as antigen presenting cells?,B lymphocytes,Macrophages,Osteoclasts,Dendritic cells,Basophils,
Which is the most common specific antibody deficiency?,IgA,IgD,IgE,IgG,IgM,
"A 2-year-old boy presents with fever and a history of recurrent bacterial infections. Physical examination shows lymphadenitis, hepatospleno-megaly, and pneu - monia. Which of the following underlying condition best explain these findings?",Cystic fibrosis,Glucose-6-phosphate dehydrogenase (G6PD) deficiency,"Leukocyte adhesion deficiency, type 1",DiGeorge syndrome,Chronic granulomatous disease,
Which of the following diseases is associated with HLA- B27 antigen?,Rheumatoid arthritis,Ankylosing spondylitis,Felty syndrome,Systemic lupus erythematosus (SLE),Hashimoto thyroiditis,
Children with selective IgA deficiency are at increased risk for which of the following gastrointestinal condition?,Tufting enteropathy,Celiac disease,Juvenile polyposis,Necrotizing enterocolitis,Autoimmune enteropathy,
Which of the following type of hypersensitivity is medi - ated by T cells?,Type I,Type II,Type III,Type IV,,
What is the best marker for enumerating total peripheral blood T cells?,CD4,CD83 Immune System Disorders 19,CD11b,CD14,CD3,
The high endothelial venules (HEV) are the sites at which:,Memory B cells enter the lymph node,Plasma cells leave the lymph node.,Foreign antigen enters the lymph node,Mature B cells leave the lymph node,Secretory antibody leaves the lymph node,
Which complement factor levels are assayed for defects in the alternate pathway of activation?,C1q,C3,C4,C5,C9,
What chromosome is home to the major histocompati - bility complex?,3,6,11,13,17,
Which of the following antibody activates complement through the alternate pathway?,IgG,IgM,IgA,IgD,IgE,
What type of immunoglobulin receptor do mast cells express?,Fc alpha,Fc beta,Fc gamma,Fc delta,Fc epsilon,
Which chromosome bears the genes for the heavy chains?,2,22,14,16,Depends on which heavy chain,
,,,,,,
Which gene is found in Mantle cell lymphoma (MCL)?,CDK4,Ki-ras,Cyclin D1 gene,L-myc,N-myc,
"A 35-year-old HIV positive male patient presents with nontender, firm, rubbery lymph nodes in the left side of the neck. Histologically, large Hodgkin–Reed-Sternberg cells with multiple nuclei and prominent nucleoli are present. What is the diagnosis?",Nodular sclerosis cHL,Lymphocyte depleted cHL,Lymphocyte rich cHL,Non-Hodgkin lymphoma,Mixed cellularity cHL,
Which of the oncogene is present in squamous cell car - cinoma in the lung?,ErbB1,ErbB2,ErbB3,Ki-ras,Cyclin D,
Which of the following carcinoma shows increased expression of ERBB2 (HER2) gene?,Carcinoma of the stomach,Melanoma,Astrocytoma,Infiltrating ductal and intraductal carcinoma of the breast,Ovarian carcinoma  24,
Microscopic images from lymph node of a 35-year-old male patient are shown below. What is the diagnosis?,Mixed cellularity Hodgkin lymphoma,Nodular sclerosis Hodgkin lymphoma,Lymphocyte rich classical Hodgkin lymphoma,Lymphocyte depleted Hodgkin lymphoma,Non-Hodgkin lymphoma,
"Which of the following oncogene is found in the carci - noma of the lung, pancreas, and colon?",Ki-ras,L-myc,N-myc,CDK4,RET,
Mediastinal tumors are rare neoplasms. The most com - mon tumor of the mediastinum is:,Lymphoma,Mediastinal germ cell tumor,Thymoma,Mediastinal lymphangioma,Mediastinal parathyroid adenomas,
Naphthylamine is a chemical carcinogen responsible for which of the following carcinoma?,Angiosarcoma of liver,Squamous cell carcinoma of skin,Bronchogenic carcinoma,Carcinoma bladder,Lymphoma,
Malignant tumor of mesenchymal tissue is referred to as?,Choristoma,Carcinoma,Hamartoma,Teratoma,Sarcoma,
"A 20-year-old male presents with anterior mediastinal mass. Biopsy of the mass is performed and H&E stained section shows cells which express CD20+, BSAP+, and EMA+. They show CD15 and CD30 expression. What is the diagnosis?",Nodular sclerosis Hodgkin lymphoma.,Mixed cellularity Hodgkin lymphoma.,Lymphocyte depleted Hodgkin lymphoma.,Lymphocyte rich Hodgkin lymphoma.,Lymphocyte predominant Hodgkin lymphoma,
A 10-year-old male presents with a rapidly enlarging maxillary mass. Biopsy is done and the microscopic pic - ture shows starry-sky appearance. What is the diagnosis?4 Neoplastic Disorders 25,Follicular lymphoma,Mantle cell lymphoma,Hodgkin lymphoma,Burkitt lymphoma,Lymphoblastic lymphoma,
A 59-year-old female with HIV/AIDS with history of diffuse large B cell lymphoma presents with left supra - clavicular adenopathy. Laboratory findings shows leu - kopenia and lymphopenia. An excisional biopsy of the enlarged lymph node is performed and H&E picture shows diffuse effacement of the lymph node by sheets of histiocytes. What is the diagnosis?,Mycobacterium tuberculosis infection,Cytomegalovirus infection,Nocardia infection,Actinomyces infection,Mycobacterium avium-intracellulare infection,
"Some benign tumors of the liver are typically discovered incidentally at laparotomy, autopsy, or during an imag - ing test performed for unrelated conditions. Which of the following is the most common benign tumor in the liver?",Hepatoma,Hemangioma,Hepatic adenoma,Cholangiosarcoma,Focal nodular hyperplasia,
A 39-year-old man comes to the dentist’s office with symptoms of enlargement of left tonsil for the last 6 months. Physical examination shows enlargement of right palatine tonsil. Biopsy is done and microscopic picture shows effacement of germinal centers which are replaced by irregular nodules composed of small lym - phocytes. What is the diagnosis?,Hodgkin’s disease,Reactive lymphoid hyperplasia,Follicular lymphoma,Tonsillar abscess,Diffuse lymphoma,
A 55-year-old male with a history of hyperimmuno- globulinemia presents with enlarged cervical lymph nodes. Biopsy of the lymph node is done and microscopic picture shows polymorphous appearance of a lymph node with diffuse effacement of the architecture. There is increased endothelial venules. What is the diagnosis?,Multicentric giant lymph node hyperplasia,Angioimmunoblastic T cell lymphoma,Lymphoma,Classic Hodgkin lymphoma mixed cellularity type,Sezary syndrome,
A 37-year-old male presents with lymph nodes in the right side of the neck. Biopsy of a lymph node is done and microscopic picture shows mixed inflammatory background without sclerosis and Hodgkin–Reed- Sternberg cells. What is the diagnosis?,Nodular sclerosis cHL,Mixed cellularity cHL,Lymphocyte rich cHL,Lymphocyte depleted cHL,Lymphocyte predominant Hodgkin lymphoma,
Prostate cancer is the second most common cancer in men worldwide. Which fusion gene is found in prostate cancer?,TMPRSS2-ERG,MYB-NFIB,PAX8-PPARG,ETV6-NTRK3,TFG-GPR128,
"A 17-year-old male presents with recurrent fever, weight loss, and a large painless lump in his groin for the last 8 months. Laboratory findings show pancytopenia. Imaging studies reveal diffuse lymphadenopathy. Cells shows anaplastic lymphoma kinase positivity. What is the diagnosis?",Anaplastic large cell lymphoma,Classical Hodgkin lymphoma,Diffuse large B cell lymphoma,Metastatic carcinoma,Malignant histiocytosis,
A 14-year-old boy presents with submandibular lymph - adenopathy for the last 2 months. Lymph nodes are freely mobile and firm. Biopsy shows scattered epitheli - oid histiocytes scattered in the cortical and paracortical areas. What is the diagnosis?,Toxoplasmosis,Cat scratch disease,Histoplasmosis,Lymphoblastic lymphoma,Metastatic cancer with unknown primary site,
An 8-year-old boy brought to the pediatrician office by his mother. Physical examination shows hepatospleno - megaly. Laboratory findings show elevated transami - nases. Bone marrow biopsy shows numerous macrophages with a wrinkled tissue paper appearance. What is the diagnosis?,Niemann-Pick disease,GM1 gangliosidosis,Gaucher disease,Hand-Schuller-Christian disease,Mastocytosis Multiple Choice Questions 26,
Microscopic picture of a type of Hodgkin lymphoma is shown below. Cells have a strong expression of CD,,,,,,
What is the diagnosis?,Nodular sclerosis cHL (NSCHL),Mixed cellularity cHL (MCCHL),Lymphocyte rich cHL (LRCHL),Lymphocyte depleted cHL (LDCHL),Nodular lymphocyte predominant HL (NLPHL),
,,,,,,
"A 39-year-old diabetic patient presents with cough, fever, headache, nasal congestion, facial pain. On exam - ination there is black necrotic eschar in the nasal cavity. Histological examination of the affected tissue shows broad nonseptate hyphae with right-angle branching. What is the diagnosis?",Mucormycosis,Aspergillosis,Actinomyces israelii,Candida albicans,Leishmania major,
Patient was admitted to the hospital because of bleeding duodenal ulcer. Culture at 37oC grew urease-positive curved bacteria. The most likely causative agent is:,Campylobacter jejuni,Streptococcus faecalis,Enterococcus,Pseudomonas aeruginosa,Helicobacter pylori,
A patient with uncontrolled diabetes mellitus gets fungal infection. Microscopic examination of the fungus shows that the hyphae are septate and branch at more acute angles. What is the diagnosis?,Mucormycosis,Aspergillosis,Actinomyces israelii,Candida albicans,Blastomycosis,
"A 2-year-old boy presents with symptoms of large vol - ume, watery diarrhea for the last one day. Polymerase chain reaction testing of the stool sample yields a virus with a segmented, double-stranded RNA genome. Which organism is responsible for this presentation?",Rotavirus,Enteric coronaviruses,Norwalk virus,Calicivirus,Entamoeba histolytica,
"A 50-year-old woman is admitted to the hospital with fever, headache, confusion, and ataxia. Similar cases are also reported in a neighboring hospital. Which organism is most likely responsible for this outbreak?",Escherichia coli O157:H7,Streptococcus pneumoniae,Klebsiella pneumoniae,Vibrio cholerae,Listeria monocytogenes,
Which of the following characteristics is an important virulence factor in Haemophilus influenzae type b?,Exotoxin,Polyribosyl ribitol phosphate,Endotoxin,Adhesins,Yersiniabactin,
Which of the following pathogens is a leading cause of atypical pneumonia?,Mycoplasma pneumoniae,Streptococcus pneumoniae,Haemophilus influenzae,Chlamydia pneumoniae,Legionella pneumophila,
Which of the following requires airborne precautions?,Disseminated varicella zoster,Allergic contact dermatitis,Influenza A,Rubella,Ebola,
"A 42-year-old patient presents with fever, sore throat, tachypnea and shortness of breath, and maculopapular rash on the trunk is hospitalized in the emergency. Patients also developed bleeding in the stool, petechiae, ecchymoses, oozing from venipuncture sites and muco - sal bleeding. Patient also develops meningoencephalitis. Unfortunately the patient died due to multi-organ failure  32 and shock. Which of the following infectious agents is most likely to produce these findings?",Influenza virus,Ebola virus,Lassa virus,Yellow fever virus,Cytomegalovirus,
"A 40-year-old homosexual man presents with anorec - tal spasms, pain, bloody discharge, and peri-anal sores. Patients also reported a genital ulcer. Which of the following is responsible for this patient conditions?",Human papillomavirus,Trichomoniasis,Chlamydia trachomatis,Neisseria gonorrhoeae,Herpes simplex virus (HSV) infection,
Which of the following pathogenic bacteria produces swarming growth on blood agar?,Proteus species,Clostridium botulinum,Staphylococcus aureus,Escherichia coli,Klebsiella pneumoniae,
Most common virus associated with laryngeal papilloma is:,HPV 6,HPV 24,HPV 32,HPV 36,HPV 17,
A photograph is shown below. What is the diagnosis?,Loa loa,Mansonella species,Brugia malayi,Brugia timori,Wuchereria bancrofti,
Which of the following organism requires fatty-  acid supplementation for growth?,Aspergillus fumigatus,Histoplasma capsulatum,Coccidioides immitis,Malassezia furfur,Candida albicans,
"A 65-year-old man presents with fever, severe headache, and nuchal rigidity. Physical examination in the emer - gency department shows a Glasgow coma score of",,,,,,
"Lumbar puncture reveals cloudy cerebrospinal fluid (CSF) with 1200 neutrophils/mm3, elevated protein, and decreased glucose. Which of the following is the most probable etiologic agent of this condition?",Arbovirus,Herpesvirus,Mycobacterium tuberculosis,Neisseria meningitidis,Streptococcus pneumoniae,
"A 33-year-old woman presents with severe, acute, right upper quadrant abdominal pain. She had several months of bloody diarrhea. CT scan of the liver demonstrates lesions that are interpreted to be abscesses. Which of the following is the most likely cause of her illness?",Ascaris lumbricoides,Entamoeba histolytica,Enterobius vermicularis,Salmonella typhi,Shigellosis,
A 2-month-old male infant is brought to the emergency room by his mother with symptoms of paroxysms of coughing and choking spells. During the examination the infant was found gasping for breath. Complete blood picture shows 84% lymphocytes. Which of the following organism is responsible for these symptoms?,Streptococcus pneumoniae,Bordetella pertussis,Streptococcus pyogenes,Klebsiella pneumoniae,Mycoplasma pneumoniae,
Which of the following is transmissible between people?,Epidermophyton,Histoplasma capsulatum,Coccidioides immitis,Trichophyton rubrum,Microsporum,
There is an incidental finding of a common nematode infection in a colon biopsy of a 52-year-old female day- care worker. Which of the following organism is likely to be present?,Enterobius vermicularis,Ascariasis5 Infectious Diseases 33,Giardiasis,Entamoeba histolytica,Tropheryma whipplei,
A 62-year-old man presents with symptoms of high grade fever and productive cough for the last 10 days. X-ray of the chest shows areas of consolidation of the left lower lobe. Unfortunately the patient died in the hos - pital. Autopsy shows bronchopleural fistula and abscess formation with sulfur granules. Which of the following organism is responsible for this patient’s condition?,Nocardia asteroides,Staphylococcus aureus,Klebsiella pneumoniae,Actinomyces israelii,Mycobacterium kansasii,
"A 35-year-old male patient with a diagnosis of acute myelogenous leukemia underwent a stem cell transplant. The patient develops fever and becomes unresponsive after 10 days. Lumbar puncture is done. CSF culture is performed and shows organisms which are catalase neg - ative, LAP positive, PVR positive, and positive for the Lancefield D antigen. Which of the following organism causing this infection?",Enterococcus species,Escherichia coli,Klebsiella pneumoniae,Streptococcus pyogenes,Staphylococcus aureus,
A 59-year-old diabetic male patient with a diagnosis of acute myeloid leukemia status post bone marrow trans - plant presents with right sided facial swelling. Invasive fungus is suspected which is confirmed by fungal cul - ture. Histology shows non septate hyaline hyphae. Which of the following organisms is most likely to pro - duce these findings?,Aspergillosis,Mucor species,Zygomycota,Ascomycota,Basidiomycota,
Which of the following parasites is associated with meg - aloblastic anemia?,Necator americanus,Ancylostoma duodenale,Diphyllobothrium latum,Entamoeba histolytica,Ascariasis,
